Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,"Michaelos: (D,)",2.867364016736402,0.7035983263598327,190.0,1.0,0.6502092050209205,0.05338912133891213,0.15581589958158998,0.14058577405857742,0.9056742624871609,0,0.32758762327150687,0
1,"Alexei: (D,)",2.848535564853557,0.7669456066945607,170.0,1.0,0.6838493723849373,0.08309623430962343,0.1402510460251046,0.09280334728033472,0.8958571237023454,0,0.936214156214156,0
2,"First by Tideman and Chieruzzi: (D, D)",2.8460251046025107,0.650041841004184,198.0,1.0,0.5935564853556486,0.056485355648535567,0.18025104602510458,0.1697071129707113,0.8930979622979178,0,0.41169698098662666,0
3,"EugineNier: (D,)",2.8418410041841007,0.7654393305439331,170.0,1.0,0.6839330543933054,0.08150627615062761,0.1392468619246862,0.09531380753138076,0.8969641693718348,0,0.9065217391304347,0
4,Evolved FSM 6,2.797071129707113,0.8147280334728033,35.0,1.0,0.7382426778242678,0.07648535564853556,0.0994979079497908,0.08577405857740586,0.9634499829841427,0.3794217087821738,0.8142266155964786,0.19405592412403558
5,MEM2,2.794979079497908,0.7636820083682009,50.0,1.0,0.7107112970711298,0.05297071129707113,0.10778242677824268,0.1285355648535565,0.9977686811730403,0.34519400352733676,0.5382588213150872,0
6,Evolved FSM 16,2.792887029288703,0.8169037656903766,39.0,1.0,0.7297907949790794,0.08711297071129707,0.10485355648535565,0.07824267782426778,0.93658265017145,0.4610578049401579,0.80647339909635,0.4164963340699897
7,"Stalker: (D,)",2.7916317991631803,0.7960669456066946,157.0,1.0,0.7020920502092051,0.09397489539748954,0.1194142259414226,0.08451882845188284,0.865279776488264,0.5011647676498371,0.8434576078411694,0.3216617296483008
8,EvolvedLookerUp1_1_1,2.7895397489539753,0.7684518828451883,48.0,1.0,0.6979079497907951,0.0705439330543933,0.11615062761506277,0.11539748953974896,0.988492465951898,0,0.9273707773707773,0
9,Spiteful Tit For Tat,2.7857740585774056,0.7922175732217573,33.0,1.0,0.7174895397489539,0.07472803347280335,0.10619246861924686,0.10158995815899582,1.0,0,0.8648742557132143,0
10,Tricky Level Punisher,2.784518828451883,0.7241004184100418,56.0,1.0,0.6836820083682008,0.040418410041841005,0.11305439330543933,0.16284518828451883,1.0,0,0,0
11,"First by Stein and Rapoport: 0.05: (D, D)",2.7799163179916317,0.7315481171548117,166.0,1.0,0.6388284518828452,0.09271966527196653,0.1496234309623431,0.1188284518828452,0.8850537998690428,0.5983298784774982,0.592780580075662,0
12,"Limited Retaliate: 0.1, 20",2.7765690376569037,0.717071129707113,58.0,1.0,0.67581589958159,0.04125523012552302,0.11523012552301255,0.16769874476987448,1.0,0,0,0
13,Retaliate 2: 0.08,2.7757322175732217,0.7136401673640167,58.0,1.0,0.6719665271966527,0.04167364016736402,0.118326359832636,0.1680334728033473,1.0,0,0,0
14,Retaliate: 0.1,2.7753138075313806,0.713723849372385,58.0,1.0,0.6720502092050209,0.04167364016736402,0.11715481171548117,0.1691213389121339,1.0,0,0,0
15,Forgetful Grudger,2.7744769874476987,0.719581589958159,56.0,1.0,0.6784100418410043,0.04117154811715481,0.11497907949790795,0.16543933054393306,1.0,0,0,0
16,"Limited Retaliate 3: 0.05, 20",2.7732217573221756,0.7180753138075314,59.0,1.0,0.6768200836820083,0.04125523012552302,0.11631799163179916,0.16560669456066945,1.0,0,0,0
17,Grudger,2.7723849372384937,0.7153138075313807,59.0,1.0,0.6735564853556485,0.04175732217573222,0.1189121338912134,0.16577405857740585,1.0,0,0,0
18,Second by RichardHufford,2.7715481171548118,0.80836820083682,27.0,1.0,0.7394979079497909,0.0688702928870293,0.0892887029288703,0.10234309623430962,0.9923024423024422,0.24042225890051977,0.9146081725317897,0
19,Adaptive Pavlov 2006,2.7711297071129706,0.7855230125523013,50.0,1.0,0.7150627615062761,0.0704602510460251,0.10200836820083682,0.11246861924686193,0.9702734189633753,0.272008547008547,0.53468644929003,0.2888888888888889
20,Punisher,2.7682008368200837,0.7110460251046025,59.0,1.0,0.6694560669456067,0.04158995815899582,0.11824267782426778,0.1707112970711297,1.0,0,0,0
21,Forgiver,2.7673640167364018,0.7224267782426779,58.0,1.0,0.6817573221757323,0.04066945606694561,0.11129707112970712,0.16627615062761508,1.0,0,0,0
22,Winner12,2.7635983263598325,0.8092887029288703,31.0,1.0,0.7374895397489539,0.07179916317991632,0.0907949790794979,0.0999163179916318,1.0,0.5466684615620785,0,0.6208549469170384
23,Retaliate 3: 0.05,2.760251046025105,0.7130543933054393,58.0,1.0,0.6715481171548117,0.041506276150627616,0.11564853556485356,0.1712970711297071,1.0,0,0,0
24,"Limited Retaliate 2: 0.08, 15",2.7589958158995813,0.7146443514644352,60.0,1.0,0.6727196652719666,0.04192468619246863,0.11531380753138075,0.1700418410041841,1.0,0,0,0
25,"BackStabber: (D, D)",2.7569037656903763,0.7545606694560669,160.0,1.0,0.6432635983263598,0.1112970711297071,0.14410041841004184,0.1013389121338912,0.8961036301077808,0.821892706450756,0,0
26,Inverse Punisher,2.75020920502092,0.7531380753138075,48.0,1.0,0.7051882845188284,0.04794979079497908,0.09732217573221758,0.1495397489539749,1.0,0,0.4811407342657342,0
27,Evolved HMM 5,2.7493723849372387,0.8117991631799163,35.0,1.0,0.7368200836820084,0.07497907949790796,0.08694560669456067,0.10125523012552301,0.9991266375545852,0.49195278633526984,0.1414141414141414,0.22447217890155005
28,SpitefulCC,2.7493723849372387,0.738744769874477,52.0,1.0,0.6902928870292887,0.04845188284518828,0.10443514644351465,0.15682008368200837,0.9944855197390694,0.7032436162870946,0,0
29,CAPRI,2.7485355648535563,0.7835146443514645,29.0,1.0,0.720836820083682,0.06267782426778243,0.09205020920502092,0.12443514644351464,1.0,0,0.7450820306454109,0
30,Evolved FSM 16 Noise 05,2.7485355648535563,0.8037656903765691,29.0,1.0,0.7261924686192469,0.07757322175732217,0.09347280334728034,0.10276150627615062,0.977179377261898,0.5347409534909535,0.601989925609835,0.2224595747389865
31,"DoubleCrosser: (D, D)",2.7443514644351463,0.7544769874476988,160.0,1.0,0.6423430962343096,0.11213389121338913,0.14359832635983263,0.10192468619246861,0.8961105670211645,0.8133062532372255,0,0
32,EvolvedLookerUp2_2_2,2.7435146443514644,0.8329707112970711,32.0,1.0,0.7415899581589959,0.09138075313807531,0.08853556485355649,0.0784937238493724,0.9109775247165914,0.5473418525544033,0.8016727424622161,0.8510923716806069
33,Adaptive Pavlov 2011,2.7430962343096237,0.7979916317991632,42.0,1.0,0.7236820083682008,0.07430962343096235,0.09347280334728034,0.10853556485355649,0.9719525240494362,0.26866949922505473,0.620351011307533,0
34,AON2,2.7389121338912137,0.7810878661087867,43.0,1.0,0.6990794979079499,0.08200836820083683,0.10443514644351465,0.11447698744769874,0.9903652086829428,0.44830055210489994,0,0.4458954955882085
35,Evolved ANN 5,2.7343096234309625,0.8393305439330544,27.0,1.0,0.7532217573221758,0.08610878661087867,0.07874476987447698,0.08192468619246861,1.0,0.7176428399642685,0,0.7562402738873327
36,NMWE Long Memory: 136 players,2.73347280334728,0.7674476987447699,45.0,1.0,0.7007531380753138,0.06669456066945606,0.09832635983263599,0.13422594142259414,0.9170298226933574,0.3913142129978864,0.2028755816533473,0.18860494905561126
