Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,Second by RichardHufford,2.8516736401673644,0.7542677824267783,168.0,1.0,0.7030125523012553,0.05125523012552302,0.12460251046025106,0.12112970711297072,0.9566107661706994,0.25574701825750207,0.813117402149929,0.07615470394187057
1,Evolved FSM 16,2.8332635983263597,0.7875313807531381,53.0,1.0,0.7021338912133891,0.08539748953974896,0.12786610878661087,0.08460251046025104,0.8989477217480539,0.5062186313939014,0.6590861471909867,0.3989334138783734
2,Evolved FSM 6,2.8223849372384935,0.80581589958159,35.0,1.0,0.7413389121338912,0.06447698744769874,0.10167364016736402,0.09251046025104602,0.9562391102446884,0.3688841280714905,0.8073998998266132,0.20452729320900365
3,"Michaelos: (D,)",2.8023012552301254,0.6899163179916318,195.0,1.0,0.6579497907949791,0.03196652719665272,0.1298326359832636,0.18025104602510458,0.9608331816331552,0,0.2674724511034654,0
4,Evolved HMM 5,2.7997907949790792,0.787071129707113,38.0,1.0,0.7268200836820085,0.0602510460251046,0.10087866108786611,0.11205020920502093,0.9992223030610176,0.4945165388932234,0.12920467606266153,0.19966829282902607
5,Evolved FSM 16 Noise 05,2.7962343096234306,0.7810878661087867,35.0,1.0,0.7255648535564854,0.05552301255230126,0.1006694560669456,0.11824267782426778,0.9791446232512631,0.522617806534272,0.5330891622142304,0.15244476338913196
6,EvolvedLookerUp2_2_2,2.795188284518828,0.7984937238493723,45.0,1.0,0.7176987447698745,0.0807949790794979,0.1102928870292887,0.09121338912133892,0.8935561515175966,0.504849869070485,0.6764304249026174,0.855511170171719
7,Evolved ANN 5,2.7920502092050206,0.8112133891213389,29.0,1.0,0.7510041841004185,0.0602092050209205,0.08740585774058578,0.10138075313807532,1.0,0.7172089249113158,0,0.5768482858155324
8,PSO Gambler 2_2_2,2.7918410041841004,0.7851882845188285,37.0,1.0,0.7101673640167364,0.07502092050209205,0.1099163179916318,0.10489539748953974,0.9257987821629238,0.5551305520155504,0.5347481268407247,0.433102143695403
9,"EugineNier: (D,)",2.7878661087866106,0.7508786610878662,191.0,1.0,0.6974895397489539,0.05338912133891213,0.11175732217573223,0.13736401673640167,0.9599725740123228,0,0.7006775072674605,0
10,"BackStabber: (D, D)",2.7861924686192467,0.7496652719665272,179.0,1.0,0.6843514644351465,0.06531380753138076,0.12025104602510461,0.1300836820083682,0.9582989223185461,0.8083232889005096,0,0
11,Spiteful Tit For Tat,2.785355648535565,0.7503765690376569,39.0,1.0,0.6918410041841004,0.05853556485355649,0.11594142259414227,0.13368200836820082,1.0,0,0.8217415808636338,0
12,MEM2,2.7851464435146442,0.7059414225941423,58.0,1.0,0.6775732217573222,0.028368200836820085,0.11640167364016736,0.17765690376569038,0.9973314824280701,0.32851731601731593,0.43733018140472224,0
13,Winner12,2.7851464435146442,0.7649372384937239,38.0,1.0,0.7087866108786611,0.05615062761506276,0.10464435146443514,0.13041841004184102,1.0,0.49505480521717915,0,0.5373419114049999
14,"DoubleCrosser: (D, D)",2.7817991631799166,0.7486192468619247,180.0,1.0,0.683305439330544,0.06531380753138076,0.12066945606694561,0.13071129707112972,0.9577792348434795,0.8053875674763832,0.20703463203463204,0
15,EvolvedLookerUp1_1_1,2.7815899581589956,0.7193305439330544,56.0,1.0,0.6643096234309623,0.05502092050209204,0.128326359832636,0.1523430962343096,0.985255785491193,0,0.9256326764623978,0
16,Fool Me Once,2.7765690376569037,0.7577824267782427,43.0,1.0,0.7186192468619247,0.039163179916318,0.09502092050209206,0.14719665271966528,1.0,0.6214722586282219,0,0
17,"First by Stein and Rapoport: 0.05: (D, D)",2.7711297071129706,0.7605439330543933,182.0,1.0,0.6940585774058577,0.06648535564853557,0.11234309623430963,0.12711297071129707,0.9517909118621686,0.49891415538655914,0.5616762046137062,0
18,Evolved FSM 4,2.770083682008368,0.8111715481171549,34.0,1.0,0.714979079497908,0.09619246861924687,0.11,0.0788284518828452,0.9489214157897817,0.4302628488621198,0,0.8238531359785967
19,Grudger,2.7694560669456068,0.660418410041841,67.0,1.0,0.6381171548117155,0.022301255230125522,0.13004184100418412,0.2095397489539749,1.0,0,0,0
20,PSO Gambler 1_1_1,2.764435146443515,0.7486610878661087,44.0,1.0,0.6961506276150627,0.052510460251046026,0.10610878661087866,0.14523012552301257,1.0,0.38068597051203334,0,0.13868403038533555
21,Tricky Level Punisher,2.762970711297071,0.6708786610878661,64.0,1.0,0.649163179916318,0.021715481171548118,0.12192468619246861,0.20719665271966528,1.0,0,0,0
22,"Limited Retaliate 3: 0.05, 20",2.7615062761506275,0.6632217573221757,66.0,1.0,0.6410460251046025,0.02217573221757322,0.12686192468619248,0.2099163179916318,1.0,0,0,0
23,"Alexei: (D,)",2.7581589958159,0.7865271966527196,167.0,1.0,0.7094560669456067,0.07707112970711298,0.10435146443514645,0.10912133891213388,0.9542776148999542,0,0.9626772821139348,0
24,PSO Gambler 2_2_2 Noise 05,2.756066945606695,0.7922594142259414,32.0,1.0,0.7136820083682008,0.07857740585774059,0.10117154811715481,0.10656903765690376,0.8875602826521248,0.5278332452980227,0.7304187403712359,0.4350025664914242
25,PSO Gambler Mem1,2.7533472803347276,0.7741004184100418,40.0,1.0,0.7127615062761506,0.06133891213389121,0.09594142259414226,0.1299581589958159,1.0,0.516936842120808,0,0.13065201136438376
26,AON2,2.752092050209205,0.7471966527196653,44.0,1.0,0.6709623430962344,0.07623430962343096,0.1192887029288703,0.13351464435146443,0.9925442231971102,0.3013044677686621,0,0.4702773204384089
27,Retaliate 3: 0.05,2.7512552301255226,0.660376569037657,66.0,1.0,0.638326359832636,0.02205020920502092,0.12472803347280334,0.21489539748953976,1.0,0,0,0
28,"Omega TFT: 3, 8",2.749581589958159,0.8122175732217574,27.0,1.0,0.7592887029288703,0.05292887029288703,0.0707531380753138,0.11702928870292886,0.9997011571733513,0.2248874153672915,0.7493273068045253,0.1442523503596885
29,Evolved ANN,2.747907949790795,0.8371966527196653,28.0,1.0,0.7697489539748954,0.06744769874476989,0.06899581589958158,0.09380753138075315,0.9791338079297502,0.8154487660281711,0.7582739018457235,0.41653762215988754
30,Forgiver,2.746234309623431,0.6788702928870293,62.0,1.0,0.6548117154811716,0.02405857740585774,0.11560669456066945,0.20552301255230124,1.0,0.6019668737060041,0.08003040610183468,0
31,TF3,2.7447698744769875,0.7100836820083682,56.0,1.0,0.6682008368200837,0.041882845188284515,0.11284518828451882,0.17707112970711297,0.9446408065773297,0.6409504076170742,0.5089380717637021,0.08177020833025146
32,NMWE Deterministic: 149 players,2.742050209205021,0.7002928870292887,57.0,1.0,0.6587866108786611,0.041506276150627616,0.11669456066945606,0.18301255230125524,0.9116219940143583,0.35323692580595345,0.14163659116624558,0.10818022905355662
33,Retaliate 2: 0.08,2.7418410041841,0.6717573221757323,67.0,1.0,0.6482426778242678,0.023514644351464435,0.11598326359832635,0.21225941422594144,1.0,0,0.06948170701847171,0
34,"First by Tideman and Chieruzzi: (D, D)",2.7401673640167363,0.6851046025104602,202.0,1.0,0.6451046025104603,0.04,0.12351464435146443,0.19138075313807532,0.9548682767633171,0,0.4065880340179286,0
35,SpitefulCC,2.7401673640167363,0.6754811715481172,61.0,1.0,0.6498744769874477,0.025606694560669458,0.11723849372384937,0.20728033472803348,0.994954454612675,0.7032436162870946,0,0
36,Adaptive Pavlov 2006,2.7380753138075313,0.7501673640167364,55.0,1.0,0.7056066945606694,0.044560669456066945,0.09246861924686194,0.15736401673640169,0.9747658108592933,0.2733297294571804,0.4803693846319986,0.18207835105368309
37,NMWE Memory One: 37 players,2.7359832635983263,0.6890376569037657,59.0,1.0,0.6514225941422594,0.03761506276150628,0.11744769874476987,0.19351464435146443,0.9080607683401909,0.4105774965774966,0.23928554788928025,0.07274380702604814
38,CAPRI,2.735564853556485,0.7451046025104603,36.0,1.0,0.7024267782426779,0.04267782426778243,0.09305439330543933,0.1618410041841004,1.0,0,0.7069606704401648,0
39,NMWE Long Memory: 136 players,2.735564853556485,0.6986610878661088,59.0,1.0,0.6602510460251046,0.03841004184100418,0.11531380753138075,0.18602510460251045,0.914260913641661,0.35785408763349946,0.13301116939537513,0.09040427007644844
40,Second by Weiner,2.7305439330543932,0.8299163179916318,23.0,1.0,0.77418410041841,0.055732217573221755,0.060041841004184096,0.1100418410041841,0.9997584541062803,0.2773715934829782,0.8054689591725603,0
41,Nice Meta Winner Ensemble: 217 players,2.7294979079497907,0.6972384937238494,58.0,1.0,0.6536401673640168,0.043598326359832636,0.11656903765690377,0.18619246861924685,0.8965200964574147,0.33962575960246316,0.15116834532138076,0.12745991910134313
42,Punisher,2.728033472803347,0.67836820083682,66.0,1.0,0.6520502092050209,0.026317991631799164,0.11146443514644351,0.21016736401673639,1.0,0,0.13827102649219286,0
43,"Limited Retaliate 2: 0.08, 15",2.725732217573222,0.6815899581589958,65.0,1.0,0.6479916317991632,0.03359832635983264,0.11598326359832635,0.20242677824267782,0.9812215320910973,0,0.08395961535434547,0.0717769088567254
44,Second by GraaskampKatzen,2.7242677824267783,0.8046861924686193,19.0,1.0,0.733723849372385,0.07096234309623431,0.08221757322175732,0.11309623430962344,0.9963800904977375,0,0.8465410423023115,0
45,NMWE Stochastic: 68 players,2.723640167364017,0.7134309623430962,55.0,1.0,0.6634309623430963,0.049999999999999996,0.11146443514644351,0.17510460251046026,0.8765909231840062,0.3660306029110208,0.1834237586611275,0.178549175857551
46,Forgetful Fool Me Once: 0.05,2.7228033472803346,0.7969037656903766,34.0,1.0,0.7407112970711297,0.05619246861924686,0.07468619246861925,0.12841004184100419,1.0,0.6629317249705535,0.08234326049517722,0.06788273101478765
47,NMWE Finite Memory: 81 players,2.721338912133891,0.7098326359832636,55.0,1.0,0.661255230125523,0.048577405857740584,0.11255230125523012,0.1776150627615063,0.8941189320837365,0.3275628209804589,0.1938697847592789,0.1997432025726416
48,Revised Downing,2.7182008368200834,0.8387029288702929,23.0,1.0,0.7628033472803347,0.07589958158995816,0.06794979079497908,0.09334728033472803,0.9801845501457523,0.7677106925086684,0.5859013414568971,0.3192622554459527
49,Second by Grofman,2.714644351464435,0.8199163179916318,33.0,1.0,0.7658158995815899,0.05410041841004184,0.059539748953974896,0.1205439330543933,0.9859824581814486,0.6313629738193531,0.509910448808183,0.03314668423364076
50,Inverse Punisher,2.7125523012552297,0.7071966527196653,60.0,1.0,0.6771129707112972,0.030083682008368202,0.09811715481171548,0.19468619246861926,1.0,0,0.3141785156694633,0
51,Retaliate: 0.1,2.7125523012552297,0.6781171548117155,68.0,1.0,0.6532217573221758,0.02489539748953975,0.10774058577405858,0.21414225941422593,1.0,0,0.08576802984799882,0
52,Forgetful Grudger,2.7062761506276147,0.6898744769874477,66.0,1.0,0.6638912133891213,0.02598326359832636,0.10255230125523013,0.20757322175732218,1.0,0,0.09958229047735502,0
53,"Limited Retaliate: 0.1, 20",2.7062761506276147,0.6802928870292887,66.0,1.0,0.6554393305439331,0.02485355648535565,0.10573221757322175,0.21397489539748954,1.0,0,0.08305057264701972,0
54,"Stalker: (D,)",2.704811715481172,0.8286192468619247,149.0,1.0,0.7471966527196652,0.08142259414225941,0.07255230125523013,0.0988284518828452,0.9333987759625925,0.5754889903544125,0.8131853866469798,0.22452121066118966
55,Gradual,2.7027196652719665,0.8569037656903765,19.0,1.0,0.7802092050209205,0.07669456066945607,0.054602510460251046,0.08849372384937237,1.0,0.3653658863913441,0.5911325055066088,0.3889600321909881
56,Adaptive Pavlov 2011,2.700836820083682,0.7692050209205021,51.0,1.0,0.7175313807531382,0.05167364016736402,0.08075313807531381,0.1500418410041841,0.9785510689456797,0.3308436708889607,0.5529642295805408,0.0838589362026862
57,"DBS: 0.75, 3, 4, 3, 5",2.697489539748954,0.8493723849372385,18.0,1.0,0.7663598326359833,0.08301255230125523,0.06092050209205021,0.08970711297071131,0.9883667348798927,0.8239769518169902,0.4779971184204575,0.347663617528741
58,Meta Majority Long Memory: 136 players,2.6968619246861922,0.8096652719665272,20.0,1.0,0.7382845188284518,0.0713807531380753,0.07150627615062762,0.11882845188284519,0.9967859768268584,0.058823529411764705,0.875017877869054,0
59,Second by Tideman and Chieruzzi,2.6960251046025108,0.7819246861924686,37.0,1.0,0.730836820083682,0.051087866108786614,0.07150627615062762,0.14656903765690377,1.0,0.254301948051948,0.6089393359033307,0.06933930700808552
60,Once Bitten,2.694142259414226,0.8276569037656903,30.0,1.0,0.7640167364016737,0.06364016736401674,0.057112970711297076,0.11523012552301255,1.0,0.7388911841014645,0.0974380824464484,0.09614358632713015
61,Evolved ANN 5 Noise 05,2.6937238493723847,0.8848953974895397,16.0,1.0,0.7958158995815899,0.08907949790794979,0.047907949790794976,0.06719665271966527,0.9899537944173137,0.7718460316490714,0.7514005535345035,0.21309523809523812
62,Meta Majority: 217 players,2.6926778242677822,0.8184100418410042,12.0,1.0,0.743765690376569,0.07464435146443514,0.07,0.1115899581589958,1.0,0.02904040404040404,0.9149963280226138,0
