Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,Evolved FSM 6,2.846276150627615,0.7829037656903766,39.0,1.0,0.7267615062761507,0.05614225941422594,0.1125857740585774,0.10451046025104603,0.940992558628822,0.343934338990854,0.7517828453938574,0.21624627850837103
1,EvolvedLookerUp2_2_2,2.8251673640167367,0.7538619246861925,48.0,1.0,0.6705523012552301,0.08330962343096235,0.14178242677824268,0.10435564853556485,0.8600784481167953,0.45873267240712856,0.5924967256278681,0.8901983104498095
2,Evolved ANN 5,2.821255230125523,0.7193682008368201,46.0,1.0,0.7019874476987448,0.017380753138075314,0.10846443514644351,0.1721673640167364,1.0,0.7312126891813512,0,0.3811457364517436
3,Evolved HMM 5,2.8179497907949793,0.7487740585774059,45.0,1.0,0.6968661087866108,0.05190794979079498,0.118581589958159,0.13264435146443515,0.9982723826178641,0.5072797257606205,0.0436545496588933,0.21375532538725375
4,Evolved ANN,2.813744769874477,0.7332426778242678,46.0,1.0,0.7146485355648536,0.018594142259414227,0.10052301255230126,0.16623430962343097,0.9833842337857955,0.8446923951463313,0.4711435064328722,0.10276787980973033
5,Evolved FSM 16 Noise 05,2.8126569037656903,0.7227615062761507,48.0,1.0,0.6999414225941423,0.022820083682008368,0.10886610878661088,0.1683723849372385,0.983737602211276,0.5712494084425884,0.42432903749232465,0.08510528203646743
6,Evolved FSM 16,2.8096861924686194,0.7225230125523012,66.0,1.0,0.6279163179916318,0.09460669456066946,0.16277405857740584,0.11470292887029289,0.8376836326653441,0.5922562655866512,0.5410897684534819,0.3749739547391799
7,PSO Gambler 2_2_2,2.79897489539749,0.6991966527196652,45.0,1.0,0.6232928870292886,0.07590376569037657,0.15611297071129704,0.14469037656903766,0.8796042876548127,0.39760661799539965,0.5048909037313611,0.42859946823983835
8,PSO Gambler Mem1,2.793200836820084,0.7357949790794979,47.0,1.0,0.6940167364016736,0.04177824267782426,0.11021757322175732,0.15398744769874476,1.0,0.5303330416953903,0,0.12428063758440083
9,Evolved FSM 4,2.778200836820084,0.7861882845188285,38.0,1.0,0.6819037656903766,0.10428451882845188,0.12968200836820085,0.08412970711297071,0.9406121830263776,0.45317311315634906,0,0.7988844149897089
10,"DBS: 0.75, 3, 4, 3, 5",2.776213389121339,0.7405188284518829,35.0,1.0,0.71318410041841,0.027334728033472803,0.09414225941422594,0.1653389121338912,0.9880710172308409,0.793435595194769,0.37147135561452777,0.19381316314141814
