Model,MSE,MAE,RMSE,R2,Train Size,Test Size
All Data,550.4259597912925,17.320791346956813,23.461158534720585,0.7175732851028442,3209322,802331
Has Noise and Probend,670.62885988507,19.484716392038127,25.89650285048292,0.6540889739990234,802360,200590
Has Noise,603.8047776306797,18.22535433526239,24.572439391128423,0.6902508735656738,1604720,401180
Has Probend,584.6473485332207,17.867237319407327,24.17948197404611,0.700078547000885,1604720,401180
"No Noise, No Probend",197.47905443764938,10.205129846432731,14.052724093130463,0.8986355066299438,802242,200561
"No Noise, Has Probend",351.9125995923478,13.499324726775388,18.759333666000714,0.8184831142425537,802360,200590
"Has Noise, No Probend",377.6907597822508,14.131221786057248,19.434267667762807,0.8051867485046387,802360,200590
