Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,Tit For Tat,2.66666,0.8333316666666667,0.0,1.0,0.8333283333333333,3.3333333333333337e-06,1.6666666666666669e-06,0.16666666666666666,1.0,0,1.0,0
1,Evolved ANN,2.3334,0.666675,1.0,1.0,0.6666716666666667,3.3333333333333337e-06,1.5e-05,0.33331,1.0,0,0.3333333333333333,0
2,Grudger,2.33335,0.66667,1.0,1.0,0.6666666666666666,3.3333333333333337e-06,5e-06,0.33332500000000004,1.0,0,0,0
3,First by Downing,2.3333266666666668,0.166695,2.0,0.0,0.16667166666666666,2.3333333333333336e-05,0.2500016666666667,0.5833033333333334,1.0,0.7037037037037037,1.500050001800068e-05,0.2500200013501265
4,Appeaser,2.166681666666667,0.833335,0.0,1.0,0.66667,0.16666499999999998,1.6666666666666669e-06,0.16666333333333333,1.0,0,0,1.0
5,Defector,2.00002,0.0,5.0,0.0,0.0,0.0,0.250005,0.7499950000000001,0,0,0,0
6,Cooperator,2.0000050000000003,1.0,0.0,1.0,0.6666683333333333,0.33333166666666664,0.0,0.0,1.0,1.0,0,0
